Country,Status,Cities in scope,Blocker / skip reason,Country lane
Australia,In flight,8 — Adelaide; Brisbane; Canberra; Gold Coast; Melbourne; Newcastle NSW; Perth; Sydney,Melbourne PTV key parked (does not block country). Canberra / Gold Coast / Newcastle tester-live 2026-08-29. Hobart & Darwin out. Do not split Sunshine Coast from Brisbane SEQ.,Not needed (segregated networks; per-agency feeds)
Canada,In flight,6 — Calgary; Edmonton; Montreal; Ottawa; Toronto; Vancouver,"Vancouver tester-live 2026-08-29; Vancouver-only until Toronto unblocks. TransLink attribution required. No SeaBus / bus / West Coast Express in Vancouver v1. Montreal, Calgary, Ottawa, Edmonton unscoped Later.",Not needed (segregated networks; per-agency feeds)
Netherlands,In flight,2 — Amsterdam; Rotterdam,Amsterdam and Rotterdam both tester-live (Rotterdam 2026-08-29). OVapi no key. The Hague / Utrecht tram-skip for v1.,To do (light) — record shared-OVapi provider + forward NS stance (see board-eligibility audit)
New Zealand,In flight,2 — Auckland; Wellington,"Auckland and Wellington both tester-live (Wellington flipped 2026-08-30). CRL stations out until passenger-open. Christchurch (buses), Hamilton/Te Huia (long-distance), Dunedin (no urban rail), KiwiRail national — out.",Not needed (segregated networks; per-agency feeds)
Sweden,Done,4 — Göteborg; Malmö / Skåne; Stockholm; Uppsala,"All 4 tester-live 30 Aug 2026 (Göteborg 29 Aug; Stockholm, Malmö, Uppsala 30 Aug). Göteborg schedule-only boards pending Trafiklab vt TripUpdates. Trafiklab keys on Vercel. Hub T-Centralen ≠ Stockholm City ≠ Stockholms central.","Partial — decisions made and recorded, but scattered across Malmö/Uppsala oracle reports, not consolidated: no docs/sweden-ledger.md exists. Provider decision, line-40 stop ownership, SJ/Öresundståg/Krösatågen verdicts need pulling into one file per country-lane.md's own spec before this reads as Done"
United Kingdom,In flight,18 — East Midlands; Edinburgh; Glasgow; Greater Manchester; Leftover England; Liverpool City Region; London & South East National Rail; London TfL; North East; Rest of Scotland; Rest of Wales; Solent; South Wales; South Yorkshire; Thames Valley; West Midlands; West Yorkshire; West of England,"Darwin LDBWS blocked: EvansAppStudio is AU-registered on Rail Data Marketplace. WM / LCR / Greater Manchester cannot flip live until DARWIN_LDB_TOKEN exists (Tim/RDM, not a city skip). LCR and Greater Manchester packed 2026-08-28 (Coming Soon); Ellesmere Port folded into LCR 2026-08-28 (not a separate picker city). London TfL done; National Rail is not. NI out of UK v1. One Darwin contract for NR; TfL stays its own city. Buses out.","Done 5 Sep 2026 — docs/united-kingdom-ledger.md (full pass). 9 stop-ownership rows contested — Tim; LNER King's Cross verdict contradiction and RDM redistribution terms open"
Austria,To Do,3 — Graz; Linz; Vienna,Wave 3. Vienna U-Bahn first. Graz / Linz Later.,TBD at scoping
Belgium,To Do,3 — Antwerp; Brussels; Charleroi,Wave 2. Brussels metro v1. Antwerp / Charleroi Later.,TBD at scoping
Czechia,To Do,2 — Brno; Prague,Wave 3. Prague Metro first. Brno Later.,TBD at scoping
Denmark,To Do,2 — Aarhus; Copenhagen,"Wave 2. Copenhagen first (Metro + S-tog). Aarhus Later. Skip-risk downgraded: Rejseplanen API 2.0 confirms Metro RT, old ""web bypass only"" note was stale (2026-08-30 Nico pass) — clear to proceed to Luke's D1 pack.","Light pass done, docs/denmark-ledger.md — shared-provider config over Rejseplanen (opposite of Finland's per-region call). Full ledger deferred until Aarhus is actively planned."
